#,lsc,ec,st_nr,street_name ,abbr,dir,muncipality,community,list_price,sold_price,type,style,br,addi,wr,fam,kit,garage_type,a/c,heat,contract,sold,list_brokerage,co_op brokerage,mls,,
40,Sld,,28,Ardglen,Dr,,Brampton,Brampton E  ,"$749,900","$750,000",Semi-Detac,2-Storey,4,1,3,N,2,None,Cen,Gas,22-01-2021,29-01-2021,RE/MAX REAL,KELLER WILLIA,W5091498,,
41,Sld,,3,Wilton,Dr,,Brampton,Brampton E ,"$749,900","$800,000",Semi-Detac,2-Storey,4,1,3,N,2,None,Cen,Gas,24-01-2021,11-02-2021,SAVE MAX SU,HOMELIFE/MIRA,W5092734,,
42,Sld,,66,Ardglen,Dr,,Brampton,Brampton E ,"$749,900","$735,000",Semi-Detac,Backsplit,2,2,2,N,1,Attach,Cen,Gas,27-03-2021,04-04-2021,HOMELIFE G1,HOMELIFE G1 R,W5171931,,
43,Sld,,11,Milner,Rd,,Brampton,Brampton E ,"$750,000","$785,000",Semi-Detac,Bungalow,3,2,2,y,1,None,Cen,Gas,19-01-2021,28-01-2021,RE/MAX WEST,CENTURY 21 PE,W5087998,,
44,Sld,,12,Delport Cl,Clse,,Brampton,Brampton E  ,"$750,000","$750,000",Semi-Detac,2-Storey,3,1,4,y,1,Attach,Cen,Gas,31-01-2021,01-02-2021,ROYAL CANAD,ROYAL CANADIA,W5099729,,
45,Sld,N,7,Wright,St,,Brampton,Brampton N ,"$759,900","$740,000",Semi-Detac,2-Storey,4,1,2,N,1,Attach,Cen,Gas,19-02-2021,04-03-2021,KELLER WILL,HOMELIFE/MIRA,W5121097,,
46,Sld,,39,Rangemore,Rd,,Brampton,Brampton N  ,"$769,000","$869,000",Att/Row/Tw,2-Storey,3,0,3,N,1,Attach,Cen,Gas,12-02-2021,18-02-2021,RE/MAX GOLD,HOMELIFE/MIRA,W5114544,,
47,Sld,,32,Horne,Dr,,Brampton,Brampton N  ,"$769,000","$799,000",Semi-Detac,Backsplit,4,1,4,y,1,Attach,Cen,Gas,27-03-2021,21-04-2021,ROYAL LEPAG,CENTURY 21 PE,W5170226,,
48,Sld,,100,Swennen,Dr,,Brampton,Brampton N  ,"$769,000","$845,000",Detached,Backsplit,3,1,3,y,1,Attach,Cen,Gas,29-03-2021,02-04-2021,CENTURY 21,ESTATE #1 REA,W5171349,,
49,Sld,,11,Hinchley W,Grve,,Brampton,Brampton N  ,"$770,000","$830,000",Semi-Detac,Backsplit,3,0,2,y,1,Built-,Cen,Gas,08-01-2021,10-01-2021,CENTURY 21,RE/MAX GOLD R,W5079022,,
50,Sld,,102,Clarence,St,,Brampton,Brampton E  ,"$775,000","$749,900",Semi-Detac,Backsplit,4,0,2,N,1,None,Cen,Gas,22-03-2021,24-03-2021,HERITAGE CA,RE/MAX REALTY,W5161901,,
51,Sld,,21,Milner,Rd,,Brampton,Brampton E  ,"$779,000","$785,000",Semi-Detac,Bungalow,3,2,2,N,1,None,Cen,Gas,09-02-2021,20-02-2021,HOMELIFE/FU,CENTURY 21 PE,W5109609,,
52,Sld,,18,Adele,Crt,,Brampton,Brampton E,"$787,500","$826,000",Detached,Sidesplit,3,0,2,N,1,None,Cen,Gas,20-03-2021,22-03-2021,RE/MAX REAL,PERFORMANCE  R,W5160499,,
53,Sld,,138,Elderwood,Pl,,Brampton,Brampton N  ,"$789,900","$935,000",Detached,Backsplit,3,0,2,y,1,Attach,Cen,Gas,03-03-2021,09-03-2021,RE/MAX REAL,KELLER WILLIA,W5135618,,
54,Sld,,62,Kingswood,Dr,,Brampton,Brampton N  ,"$797,700","$930,000",Semi-Detac,Backsplit,3,3,3,y,1,Built-,Cen,Gas,23-03-2021,30-03-2021,ROYAL LEPAG,IPRO REALTY L,W5164300,,
55,Sld,,296,Bartley Bu,Pkwy,,Brampton,Brampton E,"$798,900","$836,000",Detached,Sidesplit,3,1,2,N,1,Built-,Cen,Gas,04-01-2021,07-01-2021,RE/MAX REAL,SUTTON GROUP-,W5074482,,
56,Sld,,40,Radford,Dr,,Brampton,Brampton N  ,"$799,000","$890,000",Semi-Detac,Backsplit,4,1,3,y,1,Built-,Cen,Gas,07-01-2021,07-01-2021,HOMELIFE MA,TRI-CITY PROF,W5078490,,
57,Sld,,2,Carter,Dr,,Brampton,Brampton N ,"$799,000","$856,000",Semi-Detac,Bungalow-R,3,1,2,N,1,Built-,Cen,Gas,08-01-2021,13-01-2021,INTERCITY R,IPRO REALTY L,W5079941,,
58,Sld,,29,Haslemere,Ave,,Brampton,Brampton E  ,"$799,000","$799,000",Detached,Backsplit,3,1,3,N,1,Built-,Cen,Gas,17-01-2021,18-01-2021,HOMELIFE/MI,HOMELIFE/MIRA,W5087616,,
59,Sld,,52,Duncan Bui,Dr,,Brampton,Brampton ,"E  $799,000","$882,200",Detached,Bungalow,3,2,2,y,1,Carpor,Cen,Gas,20-01-2021,21-01-2021,COLDWELL BA,CENTURY 21 HE,W5089624,,
60,Sld,,47,Roberts,Cres,,Brampton,Brampton E  ,"$799,000","$875,000",Detached,Bungalow-R,3,1,2,y,1,Carpor,Cen,Gas,22-01-2021,24-01-2021,RE/MAX REAL,RE/MAX REALTY,W5092227,,
61,Sld,,5,Yellow Bri,Rd,,Brampton,Brampton N  ,"$799,000","$901,000",Semi-Detac,2-Storey,4,1,4,y,1,Attach,Cen,Gas,27-01-2021,29-01-2021,HOMELIFE MA,CITYSCAPE REA,W5095623,,
62,Sld,,1,Avonmore,St,,Brampton,Brampton E  ,"$799,000","$900,000",Detached,2-Storey,3,1,2,N,1,Detach,Cen,Gas,03-02-2021,05-02-2021,IPRO REALTY,IPRO REALTYL,W5103573,,
63,Sld,,12,Radford,Dr,,Brampton,Brampton N ,"$799,000","$920,000",Semi-Detac,Bungalow-R,3,1,3,N,1,Attach,Cen,Gas,07-02-2021,09-02-2021,HOMELIFE/MI,HOMELIFE/MIRA,W5107200,,
64,Sld,,76,Eldomar,Ave,,Brampton,Brampton E ,"$799,000","$920,000",Detached,Bungalow,3,1,3,N,1,Attach,Cen,Gas,11-02-2021,15-02-2021,BAY STREET,RANEX REALTY,W5111788,,
65,Sld,,32,Pressed Br,Dr,,Brampton,Brampton N  ,"$799,000","$910,000",Semi-Detac,2-Storey,4,0,3,y,1,Built-,Cen,Gas,16-02-2021,22-02-2021,ELIXIR REAL,TRIMAXX REALT,W5117440,,
