#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community, List Price , Sold Price ,Type,Style,Br,Additional,Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
1065,Sld,,7,Elrose,Rd,,Brampton,Brampton C," $899,000 "," $1,010,000 ",Detached,2-Storey,4,1,3,N,1,Detach,Cen,Gas,2-5-21,2-8-21,CENTURY 21,RIGHT AT HOME,W5105873
1066,Sld,,5,Creekwood,Dr,,Brampton,Brampton N," $899,000 "," $899,000 ",Detached,2-Storey,3,0,4,Y,1,Attach,Cen,Gas,2-10-21,2-22-21,ORION REALT,"JUSTO INC., B",W5111666
1067,Sld,,47,Baybrook,Rd,,Brampton,Brampton N," $899,000 "," $975,000 ",Detached,2-Storey,3,1,3,Y,1,Attach,Cen,Gas,3-2-21,3-8-21,RE/MAX REAL,HOMELIFE SILV,W5134421
1068,Sld,,249,Cresthaven,Rd,,Brampton,Brampton N," $899,000 "," $880,000 ",Detached,Bungalow-R,2,2,2,Y,1,Attach,Cen,Gas,3-18-21,3-21-21,RE/MAX REAL,RE/MAX REALTY,W5156857
1069,Sld,,6,Earlton,Crt,,Brampton,Brampton C," $899,900 "," $905,000 ",Detached,Bungalow,3,2,2,N,1,Attach,Cen,Gas,1-29-21,2-6-21,CENTURY 21,HOMELIFE SILV,W5098899
1070,Sld,,189,Folkstone,Cres,,Brampton,Brampton C," $899,900 "," $925,000 ",Detached,Bungalow,3,2,2,N,1,None,Cen,Gas,2-9-21,2-19-21,CENTURY 21,HOMELIFE SUPE,W5109650
1071,Sld,,130,Cresthaven,Rd,,Brampton,Brampton N," $899,900 "," $940,000 ",Detached,Bungalow,3,1,3,N,1,Attach,Cen,Gas,2-25-21,2-28-21,RE/MAX REAL,HOMELIFE SILV,W5127585
1072,Sld,,187,Folkstone,Cres,,Brampton,Brampton C," $899,900 "," $895,000 ",Detached,Bungalow,3,2,2,N,1,None,Cen,Gas,4-29-21,5-16-21,RE/MAX SARN,NON-TRREB BOA,W5220602
1073,Sld,,1,Faithknigh,Crt,,Brampton,Brampton N," $899,990 "," $911,500 ",Detached,2-Storey,3,0,3,Y,1,Attach,Cen,Gas,1-18-21,1-25-21,CENTURY 21,DOUBLE DOUBLE,W5088476
1074,Sld,,31,Faithknigh,Crt,,Brampton,Brampton N," $899,999 "," $990,000 ",Detached,2-Storey,3,1,3,Y,1,Detach,Cen,Gas,2-1-21,2-5-21,ROYAL STAR,CENTURY 21 EM,W5104358
1075,Sld,,28,Durham,Cres,,Brampton,Brampton C," $899,999 "," $995,000 ",Detached,2-Storey,4,0,3,N,1,Attach,Cen,Gas,2-19-21,2-25-21,HOMELIFE/MI,ANALYST REALT,W5121209
1076,Sld,,12,Creekwood,Dr,,Brampton,Brampton N," $929,000 "," $1,025,000 ",Detached,2-Storey,3,0,3,Y,1,Attach,Cen,Gas,4-21-21,4-21-21,CENTURY 21,RE/MAX REALTY,W5203450
1077,Sld,,76,Sundridge,St,,Brampton,Brampton N," $939,500 "," $930,000 ",Detached,Bungalow,2,2,3,Y,1,Attach,Cen,Gas,2-25-21,4-6-21,NON-TREB BO,RE/MAX PROFES,W5129012
1078,Sld,,8,National,Cres,,Brampton,Brampton N," $939,900 "," $990,000 ",Detached,2-Storey,3,0,3,N,1,Attach,Cen,Gas,3-5-21,3-6-21,CENTURY 21,IPRO REALTY L,W5138956
1079,Sld,,3,Sweet Bria,Lane,,Brampton,Brampton N," $949,000 "," $970,000 ",Detached,1 1/2 Stor,3,1,3,N,1,Attach,Cen,Gas,1-6-21,1-7-21,CENTURY 21,RE/MAX REAL E,W5076923
1080,Sld,,63,Southbend,Dr,,Brampton,Brampton N," $949,000 "," $1,099,000 ",Detached,2-Storey,4,1,4,Y,1,Attach,Cen,Gas,1-14-21,1-15-21,KELLER WILL,CENTURY 21 EM,W5084233
1081,Sld,,24,Hillpath,Cres,,Brampton,Brampton N," $949,900 "," $1,010,000 ",Detached,2-Storey,3,1,4,Y,1,Built-,Cen,Gas,12/29/2020,1/04/2021,RE/MAX REAL,RE/MAX REAL E,W5071650
1082,Sld,,42,Zachary,Dr,,Brampton,Brampton N," $949,900 "," $1,025,000 ",Detached,2-Storey,3,1,5,Y,1,Attach,Cen,Gas,1-26-21,1-29-21,RE/MAX REAL,ROYAL CANADIA,W5094248
1083,Sld,N,4,Dartnell,Pl,,Brampton,Brampton C," $949,900 "," $1,040,000 ",Detached,Bungalow,3,3,3,Y,1,Attach,Cen,Gas,2-22-21,3-4-21,CITYSCAPE R,CENTURY 21 PE,W5126643
1084,Sld,,32,Durham,Cres,,Brampton,Brampton C," $949,900 "," $947,000 ",Detached,Bungalow,3,1,2,N,1,Attach,Cen,Gas,4-14-21,4-21-21,CENTURY 21,HOMELIFE SILV,W5194152
1085,Sld,,57,Zachary,Dr,,Brampton,Brampton N," $949,900 "," $1,000,000 ",Detached,2-Storey,4,1,4,Y,1,Attach,Cen,Gas,4-14-21,4-27-21,RISING REAL,HOMELIFE SUPE,W5198502
1086,Sld,N,22,Duncannon,Cres,,Brampton,Brampton C," $949,900 "," $999,000 ",Detached,Bungalow,3,2,2,N,1,Attach,Cen,Gas,4-21-21,4-24-21,RE/MAX REAL,RE/MAX PREMIE,W5204275
