#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community,List Price,Sold Price,Type,Style,Br," ""+""",Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
153,Sld,,14,Mountain R,Rd,,Brampton,Bram West,"$15,30,000","$15,50,000",Detached,2-Storey,4,1,5,y,1,Built-,Cen,Gas,19-03-2021,21-03-2021,RE/MAX REAL,RE/MAX REALE,W5159043
154,Sld,,25,Vineyard,Dr,,Brampton,Bram West,"$15,39,900","$17,25,000",Detached,2-Storey,5,3,6,y,1,Attach,Cen,Gas,31-03-2021,04-08-2021,RE/MAX REAL,PROPERTY MAX,W5174114
155,Sld,,8,Rising Hil,Rdge,,Brampton,Bram West,"$15,49,000","$16,30,000",Detached,2-Storey,4,2,6,y,1,Attach,Cen,Gas,17-02-2021,26-02-2021,RE/MAX GOLD,RE/MAX REALTY,W5118644
156,Sld,,6,Legendary,Gire,,Brampton,Bram West,"$15,75,000","$17,00,000",Detached,2-Storey,5,0,5,y,1,Attach,Cen,Gas,24-03-2021,29-03-2021,RE/MAX REAL,ROYAL STAR RE,W5164945
157,Sld,,1,Messina    ,Ave,,Brampton,Bram West,"$15,95,000","$15,95,000",Detached,2-Storey,4,0,4,y,1,Built-,Cen,Gas,15-02-2021,17-02-2021,ROYALLEPAG,HOMELIFE/MIRA,W5115645
158,Sld,,9,Noranda,Cres,,Brampton,Bram West,"$15,95,900","$16,70,000",Detached,2-Storey,5,2,6,y,1,Built-,Cen,Gas,01-03-2021,01-03-2021,SELECT GROU,RIGHT AT HOME,W5131831
159,Sld,,,Twin Falls,Rd,W,Brampton,Bram West,"$15,97,577","$16,50,000",Detached,2-Storey,4,3,6,y,1,Built-,Cen,Gas,24-03-2021,30-03-2021,ROYAL STAR,ROYAL LEPAGE,W5166221
160,Sld,,147,Coastline,Dr,,Brampton,Bram West,"$15,99,000","$15,82,000",Detached,Bungalow,3,2,3,y,1,Attach,Cen,Gas,28-02-2021,05-04-2021,RE/MAX REAL,CENTURY 21 LE,W5130981
161,Sld,,26,Wardsville,Dr,,Brampton,Bram West,"$15,99,000","$19,15,000",Detached,2-Storey,4,1,6,y,1,Built-,Cen,Gas,24-04-2021,02-05-2021,HOMELIFE MA,CENTURY 21 IN,W5207915
162,Sld,,92,Nova Scoti,Rd,,Brampton,Bram West,"$15,99,900","$16,85,000",Detached,2-Storey,4,0,5,y,1,Built-,Cen,Gas,12-02-2021,18-02-2021,RE/MAX REAL,HOMELIFE/MIRA,W5113833
163,Sld,,7,Clute Spri,Crt,,Brampton,Bram West,"$15,99,900","$16,81,000",Detached,2-Storey,5,0,5,y,1,Built-,Cen,Gas,15-03-2021,20-03-2021,CENTURY 21,KING REALTY I,W5151566
164,Sld,,8,Xavier,Crt,,Brampton,Bram West,"$15,99,900","$16,00,000",Detached,2-Storey,4,0,4,y,1,Built-,Cen,Gas,25-03-2021,31-03-2021,ROYAL LEPAG,ROYAL LEPAGE,W5167256
165,Sld,,4,Mugford,Cres,,Brampton,Bram West,"$15,99,900","$15,60,000",Detached,2-Storey,4,0,4,y,1,Built-,Cen,Gas,19-04-2021,21-04-2021,NEW VENTURE,KELLER WILLIA,W5200774
166,Sld,,59,Mountain R,Rd,,Brampton,Bram West,"$15,99,900","$16,20,000",Detached,2-Storey,4,1,5,N,1,Built-,Cen,Gas,05-05-2021,09-05-2021,RE/MAX ABOU,COLDWELL BANK,W5221276
167,Sld,,89,Coastline,Dr,,Brampton,Bram West,"$15,99,999","$17,50,000",Detached,2-Storey,5,0,4,y,1,Attach,Cen,Gas,21-04-2021,24-04-2021,KINGSWAY RE,SUTTON GROUP,W5204229
168,Sld,N,11,Mcnutt,St,,Brampton,Bram West,"$16,00,000","$15,70,000",Detached,Bungalow,3,1,4,y,1,Built-,Cen,Gas,30-01-2021,04-02-2021,ROYAL LEPAG,HOME VISION R,W5098920
169,Sld,,1,Tristan,Crt,,Brampton,Bram West,"$16,00,000","$16,84,000",Detached,Bungaloft,3,0,3,y,1,Built-,Cen,Gas,01-05-2021,07-05-2021,ROYAL LEPAG,RE/MAX REALTY,W5216980
170,Sld,,74,Elysian Fi,Circ,,Brampton,Bram West,"$16,49,900","$17,00,000",Detached,2-Storey,4,1,5,y,1,Attach,Cen,Gas,04-02-2021,14-02-2021,RE/MAX REAL,HOMELIFE/MIRA,W5104549
171,Sld,,9,Larande,Crt,,Brampton,Bram West,"$16,49,900","$15,80,000",Detached,2-Storey,4,1,5,y,1,Built-,Cen,Gas,25-03-2021,05-04-2021,RE/MAX REAL,RE/MAX REALE,W5167288
172,Sld,N,10,Xavier,Crt,,Brampton,Bram West,"$16,61,618","$16,00,000",Detached,2-Storey,4,0,4,y,1,Built-,Cen,Gas,12-04-2021,08-05-2021,ROYAL LEPAG,ROYAL LEPAGE,W5191368
173,Sld,,9,Lower Tham,Dr,,Brampton,Bram West,"$16,79,000","$16,57,000",Detached,2-Storey,5,1,4,y,1,Attach,Cen,Gas,16-03-2021,31-03-2021,HIGHLAND RE,SALERNO REALT,W5154552
174,Sld,,35,Legendary,Circ,,Brampton,Bram West,"$16,90,000","$16,80,000",Detached,2-Storey,4,0,4,y,1,Attach,Cen,Gas,20-03-2021,25-03-2021,RE/MAX REAL,RE/MAX REALTY,W5160719
175,Sld,,47,Shediac,Rd,,Brampton,Bram West,"$16,99,000","$17,00,000",Detached,2-Storey,5,3,6,y,1,Attach,Cen,Gas,03-04-2021,11-04-2021,SAVE MAX RE,EXECUTIVE REA,W5178849
176,Sld,,46,Dancing Wa,Rd,,Brampton,Bram West,"$16,99,900","$16,80,000",Detached,2-Storey,4,2,6,y,1,Built-,Cen,Gas,17-03-2021,22-03-2021,RE/MAX REAL,CENTURY 21 GR,W5154741
177,Sld,,45,Elysian Fi,Circ,,Brampton,Bram West,"$16,99,999","$18,11,000",Detached,2-Storey,5,2,5,y,1,Attach,Cen,Gas,29-03-2021,07-04-2021,HOMELIFE/MI,NON-TRREB BOA,W5171031
178,Sld,N,133,Sky Harbou,Dr,,Brampton,Bram West,"$17,49,000","$17,00,000",Detached,2-Storey,4,0,5,y,1,Built-,Cen,Gas,25-03-2021,07-04-2021,BAY STREET,ROYAL LEPAGE,W5166323
179,Sld,,32,Black Bear,Tr,,Brampton,Bram West,"$17,49,900","$17,45,100",Detached,2-Storey,5,2,6,y,1,Built-,Cen,Gas,10-03-2021,15-03-2021,CENTURY 21,HOMELIFE/MIRA,W5144709
180,Sld,,12,Boundary C,Path,,Brampton,Bram West,"$17,49,905","$16,75,000",Detached,2-Storey,4,1,4,y,1,Built-,Cen,Gas,16-02-2021,16-03-2021,RE/MAX REAL,SAVE MAX ELIT,W5116310
181,Sld,,4,Clute Spri,Crt,,Brampton,Bram West,"$17,49,999","$17,20,000",Detached,2-Storey,5,0,4,y,1,Attach,Cen,Gas,27-04-2021,02-05-2021,STONECASTLE,STONECASTLE R,W5211040
182,Sld,,49,Isle Royal,Terr,,Brampton,Bram West,"$17,99,900","$17,80,000",Detached,2-Storey,4,1,5,y,1,Attach,Cen,Gas,16-03-2021,25-03-2021,HOME VISION,HOME VISION R,W5153874
183,Sld,,10,Mugford,Cres,,Brampton,Bram West,"$17,99,999","$17,90,000",Detached,2-Storey,5,3,6,y,1,Attach,Cen,Gas,04-03-2021,01-04-2021,HOMELIFE G1,HOMELIFE SUPE,W5138026
